train_no,date,departure,arrival,time,details
KTX001,2024-12-01,Seoul,Busan,08:00,Seoul to Busan
KTX002,2024-12-01,Seoul,Daegu,10:00,Seoul to Daegu
KTX003,2024-12-01,Seoul,Gwangju,12:00,Seoul to Gwangju
KTX004,2024-12-02,Busan,Seoul,08:00,Busan to Seoul
KTX005,2024-12-02,Daegu,Seoul,10:00,Daegu to Seoul
KTX006,2024-12-02,Gwangju,Seoul,12:00,Gwangju to Seoul
KTX007,2024-12-03,Seoul,Daejeon,09:00,Seoul to Daejeon
KTX008,2024-12-03,Seoul,Incheon,11:00,Seoul to Incheon
KTX009,2024-12-03,Seoul,Jeonju,13:00,Seoul to Jeonju
KTX010,2024-12-04,Daejeon,Seoul,07:00,Daejeon to Seoul
KTX011,2024-12-04,Incheon,Seoul,09:00,Incheon to Seoul
KTX012,2024-12-04,Jeonju,Seoul,11:00,Jeonju to Seoul
KTX013,2024-12-05,Seoul,Suwon,08:30,Seoul to Suwon
KTX014,2024-12-05,Seoul,Yongin,10:30,Seoul to Yongin
KTX015,2024-12-05,Seoul,Chuncheon,12:30,Seoul to Chuncheon
KTX016,2024-12-06,Seoul,Busan,08:00,Seoul to Busan
KTX017,2024-12-06,Seoul,Daegu,10:00,Seoul to Daegu
KTX018,2024-12-06,Seoul,Gwangju,12:00,Seoul to Gwangju
KTX019,2024-12-07,Busan,Seoul,08:00,Busan to Seoul
KTX020,2024-12-07,Daegu,Seoul,10:00,Daegu to Seoul
KTX021,2024-12-07,Gwangju,Seoul,12:00,Gwangju to Seoul
KTX022,2024-12-08,Seoul,Daejeon,09:00,Seoul to Daejeon
KTX023,2024-12-08,Seoul,Incheon,11:00,Seoul to Incheon
KTX024,2024-12-08,Seoul,Jeonju,13:00,Seoul to Jeonju
KTX025,2024-12-09,Daejeon,Seoul,07:00,Daejeon to Seoul
KTX026,2024-12-09,Incheon,Seoul,09:00,Incheon to Seoul
KTX027,2024-12-09,Jeonju,Seoul,11:00,Jeonju to Seoul
KTX028,2024-12-10,Seoul,Suwon,08:30,Seoul to Suwon
KTX029,2024-12-10,Seoul,Yongin,10:30,Seoul to Yongin
KTX030,2024-12-10,Seoul,Chuncheon,12:30,Seoul to Chuncheon
